id,owner_id,mime_type,file_path,create_day_id,create_date,artist
dfa0fcb1-39af-46c9-8c42-335943e20e81,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/dfa0fcb1-39af-46c9-8c42-335943e20e81.jpeg,20090102,2009-01-02 00:00:00,Edward Bridges
908ff1a9-0f08-49dd-b9dc-ad4f010207e9,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/908ff1a9-0f08-49dd-b9dc-ad4f010207e9.jpeg,20090102,2009-01-02 00:10:00,Edward Bridges
64ccf6e0-20b5-4dfa-8ce8-e22f1dfb46bd,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/64ccf6e0-20b5-4dfa-8ce8-e22f1dfb46bd.jpeg,20090102,2009-01-02 00:20:00,Edward Bridges
b752ad20-ccef-4508-a7a9-d614034291fd,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/b752ad20-ccef-4508-a7a9-d614034291fd.jpeg,20090102,2009-01-02 00:30:00,Edward Bridges
e1c7a577-a584-4c08-acbc-dce27ae07861,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/e1c7a577-a584-4c08-acbc-dce27ae07861.jpeg,20090102,2009-01-02 00:40:00,Edward Bridges
6ffbd964-3c6f-4094-90b0-c99d75b44a20,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/6ffbd964-3c6f-4094-90b0-c99d75b44a20.jpeg,20090102,2009-01-02 00:50:00,Edward Bridges
6ea36273-20b6-41b0-9e59-f653ef1e5729,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/6ea36273-20b6-41b0-9e59-f653ef1e5729.jpeg,20090102,2009-01-02 01:00:00,Edward Bridges
5f433bf9-6722-416d-8eaa-7151adb8b4f9,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/5f433bf9-6722-416d-8eaa-7151adb8b4f9.jpeg,20090102,2009-01-02 01:10:00,Edward Bridges
bca763a1-e1ec-450f-a1de-1f92978eb56d,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/bca763a1-e1ec-450f-a1de-1f92978eb56d.jpeg,20090102,2009-01-02 01:20:00,Edward Bridges
ca8bdc10-c861-4b19-abba-51b80f81fcc3,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/ca8bdc10-c861-4b19-abba-51b80f81fcc3.jpeg,20090102,2009-01-02 01:30:00,Edward Bridges
89ad44ce-102d-4c40-9883-769564e0374a,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/89ad44ce-102d-4c40-9883-769564e0374a.jpeg,20090102,2009-01-02 01:40:00,Edward Bridges
621e282d-4384-486d-8506-5d231609ea7f,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/621e282d-4384-486d-8506-5d231609ea7f.jpeg,20090102,2009-01-02 01:50:00,Edward Bridges
0985b340-1a43-4a31-897a-b61f14bed72e,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/0985b340-1a43-4a31-897a-b61f14bed72e.jpeg,20090102,2009-01-02 02:00:00,Edward Bridges
d6721db2-79cf-4dbf-8f48-a7e0621f5561,48e0135c-4237-4a30-b129-7aee35875767,image/jpeg,/48e0135c-4237-4a30-b129-7aee35875767/d6721db2-79cf-4dbf-8f48-a7e0621f5561.jpeg,20090102,2009-01-02 02:10:00,Edward Bridges
